199;396;0; ;
220,189;396;0,017;;
238,544;396;0,033;;
251,25;396;0,045;;
263,222;396;0,063;;
273,447;396;0,085;;
284,849;397,185;0,099;;
296,065;398,307;0,115;;
320,258;400,869;0,135;;
331,5;401,5;0,151;;
340,704;402,268;0,163;;
353,22;403,768;0,191;;
365,055;404,906;0,206;;
376,044;406,004;0,216;;
390,959;407,151;0,231;;
401,735;407;0,249;;
410,288;408,411;0,269;;
423,274;408,527;0,282;;
434,288;408,371;0,297;;
447,09;408,758;0,318;;
457,785;408,135;0,334;;
468,634;407,037;0,349;;
482,529;407;0,365;;
492,389;404,469;0,387;;
499,737;403,609;0,404;;
507,282;403;0,419;;
513,344;402,414;0,432;;
517,14;402,713;0,452;;
519,5;403,5;0,499;;
513,813;407,187;0,514;;
507,331;411,001;0,534;;
498,622;414,448;0,554;;
488,319;420,926;0,567;;
478,248;427,726;0,581;;
465,958;436,576;0,599;;
452,783;444,544;0,619;;
433,186;456,067;0,635;;
421,004;468,996;0,648;;
400,574;480,192;0,667;;
387,217;494,338;0,687;;
369;507;0,705;;
352,808;521,217;0,721;;
336,201;535,256;0,733;;
315,305;551,038;0,75;;
302,481;565,614;0,766;;
285,407;581,42;0,79;;
272,237;594,763;0,805;;
260,952;605,66;0,817;;
248,726;618,342;0,833;;
239,839;628,806;0,854;;
228,59;640,41;0,878;;
220,772;651,713;0,893;;
213,083;660,905;0,903;;
203,966;671,164;0,917;;
192,333;680,134;0,933;;
190,843;687,699;0,955;;
186,007;693,99;0,977;;
184,406;695,781;0,997;;
183,5;698,5;1,018;;
184;699,538;1,043;;
186,087;700,043;1,061;;
190,244;699,793;1,073;;
197,341;699,334;1,085;;
205,314;700,473;1,101;;
213,641;698;1,122;;
222,212;696,62;1,14;;
236,344;694,379;1,153;;
250,406;693,05;1,168;;
269,298;690,847;1,185;;
284,646;688,622;1,202;;
302,005;689;1,218;;
317,361;689;1,235;;
335;690,5;1,256;;
352,923;691,662;1,27;;
371,766;692,798;1,285;;
391,645;694,849;1,303;;
409,74;695;1,319;;
427,789;698,523;1,335;;
447,017;701,885;1,357;;
462,195;702,443;1,375;;
476,267;704,517;1,388;;
489,186;705,648;1,403;;
499,871;705,213;1,523;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
0;0;0;;
83;;;;
1523;;;;
ASYC;;;;
208;397;0; ;
230,372;396,239;0,019;;
241,344;395,073;0,034;;
254,644;395;0,055;;
266,734;393,842;0,068;;
278,012;394;0,082;;
293,322;394;0,103;;
311,155;395,057;0,12;;
329,495;396,625;0,133;;
340,82;397;0,153;;
357,874;398,859;0,167;;
370,09;400,008;0,183;;
388,662;401,166;0,205;;
400,205;401;0,221;;
410,796;402,38;0,234;;
428;400,5;0,254;;
440,46;400;0,269;;
452,951;399,305;0,283;;
462,923;399;0,303;;
476,927;399,994;0,319;;
485,901;400;0,335;;
493,544;398,779;0,355;;
500,174;397,638;0,368;;
512,778;398;0,385;;
514;398;0,405;;
516,5;399,5;0,433;;
517,531;401,531;0,454;;
517;403,08;0,483;;
517;406,498;0,503;;
514,026;408,974;0,537;;
510,683;412,317;0,553;;
507,626;414,582;0,568;;
502,408;416,837;0,585;;
496,711;422,289;0,608;;
491,07;426,744;0,623;;
485,553;432,447;0,638;;
477,079;439,504;0,655;;
466,5;446;0,672;;
454,5;453,5;0,686;;
437,596;467,603;0,702;;
422,983;478,263;0,722;;
404,511;492,374;0,736;;
391,25;504,604;0,756;;
374,827;518,577;0,774;;
363,918;534,196;0,788;;
346,385;549,107;0,803;;
330,718;564,282;0,819;;
314,828;579,428;0,839;;
303,166;593,446;0,856;;
288,25;605,803;0,87;;
274,235;620,912;0,886;;
260,855;632,883;0,907;;
247,487;646,513;0,926;;
242,691;654,782;0,938;;
234,786;663,816;0,953;;
