188,406,0,219.65,405,0.018,234.685,405,0.035,250.288,405,0.052,264.764,405,0.068,279.302,405,0.086,295.361,405,0.103,318.615,404.427,0.118,337.956,404,0.135,353.17,403.189,0.151,367.217,403,0.169,380.641,401.947,0.186,395.26,403.174,0.201,404.654,401.705,0.219,418.976,402,0.238,433.5,403.5,0.253,446.538,403.657,0.269,457.207,404,0.285,468.859,404,0.302,483.19,405.015,0.319,490.994,405,0.336,498.799,405,0.356,506.646,405,0.38,507.995,405.497,0.388,510,406.5,0.435,506.643,407.179,0.452,504.904,408.048,0.469,496.463,410.439,0.485,485.942,420.719,0.504,474.404,436.975,0.522,455.881,451.119,0.537,437.394,467.505,0.553,419.719,483.462,0.57,398.178,501.057,0.586,378.988,515.774,0.604,361.082,533.918,0.62,340.594,547.904,0.639,326.027,565.399,0.655,307.035,577.592,0.672,290.103,592.592,0.7,275.373,607.196,0.713,261.287,621.713,0.732,247.752,633.397,0.753,236.134,650.579,0.77,213.905,672.482,0.789,206.5,685.5,0.805,200.251,688.499,0.822,195.766,692.979,0.838,193.265,695.735,0.854,192,697,0.886,194.076,698.151,0.92,197.702,699.234,0.954,203.128,702.419,0.971,208.147,703.829,0.988,213.746,706.848,1.005,220.419,708.07,1.022,230.693,709.188,1.038,243.482,709,1.056,251.441,710.43,1.073,266,708.5,1.09,278.058,708,1.106,289.714,707.208,1.122,302.974,707,1.139,313.297,707,1.156,327.933,705.851,1.172,338.782,704.722,1.19,352.721,702.213,1.206,370.5,700,1.223,385.774,696.099,1.239,401.808,693.491,1.256,419.89,690.372,1.273,436.945,688.007,1.289,457.059,686.886,1.306,475.962,685.767,1.322,495.15,687.362,1.341,517.024,685.525,1.358,530.365,684.403,1.38,542.463,683.282,1.391,550.035,683,1.407,552.915,682.042,1.423,554,681.5,1.472,553,679.78,1.49,551.5,677,1.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1616,MACCH,
212,408,0,233.539,403.897,0.018,255.938,399.952,0.036,272.137,396.573,0.053,289.448,393.228,0.068,308.827,390.575,0.085,328.988,388.335,0.101,350.115,385.14,0.119,395.033,380.704,0.135,411.108,377.417,0.152,435.564,375.375,0.17,457.736,371.69,0.186,474.576,368.33,0.203,489.759,366.324,0.225,504.945,366,0.237,516.248,365.083,0.252,524.245,363.965,0.269,534.381,362.847,0.286,539.369,363,0.303,543.591,361.602,0.368,543.134,364.268,0.402,536.524,373.714,0.419,518.413,387.869,0.437,503.111,411.985,0.454,478.323,434.677,0.471,451.192,460.208,0.487,426.143,481.253,0.503,396.505,503.621,0.52,365.133,530.029,0.537,333.695,553.728,0.553,298.725,582.061,0.57,265.295,611.411,0.588,238.92,636.194,0.605,218.308,657.566,0.621,197.003,677.313,0.637,185.383,690.222,0.654,180.301,697.548,0.671,180,702.173,0.687,181.161,707.806,0.704,186.162,712.162,0.72,194.86,716.634,0.74,213.863,717,0.756,233.581,717,0.771,256.18,716.241,0.788,280.554,713.334,0.805,308.265,707.947,0.821,336.332,702.333,0.838,364.221,698.005,0.854,390.893,696.259,0.873,411.803,694.02,0.889,436.211,691.779,0.905,454.254,690.268,0.921,472.503,688.294,0.938,486.686,688,0.955,495.738,686.908,0.971,504.701,685.787,0.988,511.035,684.661,1.007,513.355,685,1.023,515.149,684.575,1.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1115,MACCH,
176,392,0,195.281,397.074,0.018,211.268,402.005,0.035,225.833,403.743,0.052,240.411,405.986,0.069,257.182,406,0.085,274.735,406,0.109,292.688,405.145,0.119,329.154,404.024,0.135,345.348,400.711,0.152,368.342,397.349,0.169,385.35,393.997,0.187,406.215,389.174,0.203,424.108,385.263,0.22,441.173,381.905,0.236,455.024,379.359,0.253,467.33,377.122,0.269,482.834,375.94,0.286,491.443,373.639,0.303,501.68,372.702,0.32,513.225,371.578,0.337,518.16,372,0.353,521.985,372.662,0.37,524.5,373.5,0.402,525.535,374.267,0.435,526.089,376.177,0.485,523.643,377.179,0.536,515.071,387.917,0.553,503.937,404.594,0.57,486.559,421.441,0.587,468.487,443.547,0.605,449.017,457.575,0.621,426.982,475.661,0.638,402.251,495.199,0.654,374.225,516.789,0.671,349.114,539.936,0.688,320.187,565.604,0.705,296.999,587.811,0.721,269.482,605.012,0.739,252.673,625.758,0.755,237.5,637.5,0.771,221.585,657.088,0.788,207.488,674.682,0.804,197.731,685.269,0.821,194.93,689.106,0.837,195,691.302,0.87,199.785,694.589,0.889,205,700,0.906,213.436,705.169,0.921,223.55,710.02,0.938,240.01,713.627,0.955,254.978,714.998,0.972,277.333,716.117,0.988,294.794,716,1.005,316.859,717.361,1.021,342.448,715.525,1.042,366.118,712.211,1.056,392.342,705.942,1.073,418.394,699.784,1.089,443.2,696.109,1.106,462.393,692.754,1.123,486.251,691.798,1.139,500.529,692,1.157,519.012,692,1.174,527,690.5,1.19,536.803,682.197,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1280,MACCH,
238,388,0,259.246,391.035,0.017,281.982,394.83,0.033,300.868,396.808,0.052,321,397.5,0.068,340.172,396.359,0.085,362.212,395.239,0.101,382.876,393.236,0.117,424.095,390.995,0.135,445.333,388.754,0.159,461.601,384.516,0.168,482.977,382.266,0.186,496.734,378.557,0.203,510.49,377.41,0.238,526.194,375.161,0.261,530.725,375,0.284,533,375,0.318,528.775,377.225,0.337,526,378.5,0.353,514.125,391.937,0.369,496.483,408.904,0.386,476.316,430.538,0.402,451.864,451.981,0.419,422.587,475.565,0.435,392.222,496.474,0.454,363.304,516.405,0.472,333.5,543.5,0.487,301.833,570.227,0.503,273.792,596.439,0.52,248.377,623.407,0.536,225.788,648.233,0.553,209.036,666.095,0.569,192.222,684.03,0.586,185.026,692.346,0.605,182.039,700.922,0.622,182,705.45,0.721,233.338,725.31,0.738,255.215,725,0.756,277.81,722.846,0.771,300.318,720.607,0.791,326.681,718.36,0.815,350.641,715.194,0.829,376.226,711.84,0.855,423.914,708,0.877,440.552,706.161,0.891,455.861,703.92,0.905,467.89,701.027,0.921,480.57,698.442,0.938,487.502,696.199,0.955,493.094,694.981,0.971,498.696,695,0.988,504.3,701.3,1.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1079,MACCH,
189,392,0,209.695,395.104,0.017,232.022,397.878,0.033,244.5,400,0.05,260.511,400.679,0.067,276.154,401.797,0.083,291.886,403.841,0.1,308.556,406.074,0.117,342.725,409.472,0.133,363.621,409,0.15,383.207,407.6,0.168,406,406.5,0.184,425.528,402.079,0.2,447.231,397.192,0.217,463.462,393.355,0.234,484.046,389.993,0.25,498.57,387.758,0.267,515.656,386.756,0.284,522.848,384.288,0.302,528.904,385,0.322,532.795,387,0.334,535.5,387,0.4,531.917,389.083,0.433,525.881,392.672,0.452,506.109,411.636,0.468,490.384,424.242,0.485,471.446,440.128,0.501,454.068,455.074,0.518,431.97,471.773,0.534,415.489,483.841,0.552,390.95,502.61,0.663,276.767,619.25,0.671,261.08,636.057,0.685,244.245,659.007,0.702,228.796,674.576,0.72,214.562,692.924,0.737,207.48,703.587,0.752,198.112,715.624,0.769,193.434,722.277,0.786,191.048,727.879,0.803,192.096,731.289,0.835,199.012,735.675,0.854,208.209,739.375,0.87,220.37,739,0.886,237.633,737.596,0.903,254.467,735.362,0.92,274.841,731.244,0.937,296.172,725.692,0.967,318.64,718.908,0.98,342.291,713.502,1.01,365.836,709.159,1.029,410.519,705.341,1.041,430.279,703.438,1.054,452.044,700.293,1.07,467.324,697.95,1.087,486.475,696.854,1.104,497.894,697,1.122,510.264,699.775,1.139,518,700.5,1.155,522.128,699,1.171,526.245,698.252,1.188,530.478,700.609,1.205,534.961,705.951,1.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1296,MACCH,
226,399,0,253.785,405.21,0.017,269.147,407.715,0.034,285.638,409.952,0.051,301.348,411.096,0.067,318.257,412.217,0.084,332.382,413.337,0.102,349.922,415.923,0.119,378.839,420.736,0.135,395.07,422.698,0.151,411.281,423.819,0.168,425.245,424,0.185,437.657,424,0.201,452.376,424,0.218,461.703,424,0.235,476.05,422.579,0.253,487.5,421.5,0.27,495.942,422,0.285,506.034,422,0.302,513.425,421.096,0.318,517.075,421,0.335,520.436,421,0.435,515.381,426.619,0.453,502.18,439.82,0.47,487.586,452.196,0.486,473.018,470.67,0.503,454.366,484.577,0.521,436.532,503.468,0.538,415.748,519.252,0.553,394.499,538.369,0.569,372.346,558.821,0.586,352.827,580.076,0.603,333.779,599.221,0.62,311.197,621.803,0.637,296.577,637.738,0.655,273.717,660.283,0.671,264,670,0.687,247.573,687.427,0.703,236.834,696.574,0.72,227.668,702.582,0.737,221.814,705.074,0.754,219.684,707.316,0.786,222.399,708.199,0.805,225,708,0.822,233.087,711.272,0.837,243.565,713.513,0.855,257.413,713.122,0.877,274.006,710.999,0.888,290.778,707.644,0.904,311.314,703.041,0.921,334.302,699.905,0.939,349.229,696.554,0.956,375.446,697,0.971,395.278,695.556,0.988,413.491,695,1.005,428.526,694.036,1.022,442.009,695.084,1.038,454.254,695,1.055,461.293,695,1.073,469.117,693.555,1.09,477.413,691.862,1.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1179,MACCH,
184,375,0,205.434,379.083,0.018,228.885,381.654,0.036,244.768,382.451,0.055,263.528,382,0.076,281.711,382,0.086,300.752,382.809,0.102,319.757,383,0.119,359.908,385.103,0.136,377.886,386.17,0.152,402.093,386,0.181,419.994,386,0.188,439.026,385,0.207,454.143,384.351,0.22,468.798,384,0.236,483.596,384,0.253,494.113,384,0.27,509.834,385.131,0.287,520.54,385,0.303,530.346,386.372,0.321,546.438,387.495,0.338,553.907,388.613,0.353,562.876,389.735,0.37,570.131,390.855,0.387,572.952,391.976,0.403,574,392.5,0.436,570.778,394.222,0.455,562.243,399.838,0.472,531.552,423.98,0.487,501.447,445.966,0.504,467.682,474.868,0.521,429.202,505.302,0.537,389.983,534.498,0.554,354.229,563.689,0.571,315.858,588.861,0.59,281.993,617.49,0.606,250,646,0.622,226.535,674.437,0.638,203.378,698.622,0.655,186.395,719.206,0.671,175.832,733.224,0.688,168.024,740.976,0.705,167.738,742.524,0.738,171.751,743.25,0.756,179.972,744.243,0.771,190.427,744.257,0.788,205.977,742.27,0.805,219.809,737.08,0.822,244.252,731.488,0.838,266.457,724.663,0.855,288.989,719.253,0.873,314.158,715.153,0.89,338.5,709.5,0.906,362.255,703.466,0.922,388.845,697.866,0.939,410.052,695.105,0.956,432.356,691.797,0.972,454.714,689.629,0.989,469.337,688.69,1.006,492.095,686.148,1.024,505,685.5,1.04,520.711,681.658,1.058,533.482,678.63,1.08,543.284,677.089,1.091,549.155,677,1.106,553.605,677,1.123,561.87,677,1.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1216,MACCH,
211,404,0,251.322,400.598,0.018,269.286,398.362,0.034,286.058,396.126,0.051,301.807,393.885,0.068,318.705,392.82,0.084,332.878,391.702,0.102,350.324,392,0.119,382.223,391,0.136,399.565,389.682,0.151,418.81,388.221,0.169,438.307,388,0.185,456.366,385.954,0.202,475.395,386,0.218,491.932,384.738,0.237,510.112,385,0.253,520.5,383.5,0.271,527.356,382.378,0.285,535.206,382,0.302,538.735,382.867,0.319,540,383.5,0.369,536.825,384.087,0.387,532.606,385.465,0.403,517.928,397.661,0.419,500.931,410.809,0.436,483.535,428.127,0.453,459.12,447.172,0.47,431.205,470.508,0.486,408.007,488.042,0.503,381.856,508.591,0.521,354.566,528.826,0.537,324.5,551,0.555,289.151,580.156,0.57,260.939,604.679,0.587,237.747,628.165,0.603,215.338,649.629,0.62,195.281,666.266,0.636,181.493,686.856,0.654,171.042,697.354,0.671,164.5,705,0.688,167,706.266,0.703,168.506,707.753,0.72,173.378,711.502,0.737,181.97,714.989,0.754,193.144,716.114,0.77,211.769,717.236,0.798,229.849,717,0.817,253.458,716.527,0.838,301.858,715.286,0.856,329.935,713.325,0.875,359.85,710.128,0.888,389.027,705.688,0.905,414.57,697.609,0.922,444.357,689.75,0.94,467.596,684.819,0.964,491.532,681.879,0.976,509.857,681,0.99,522.871,681,1.005,535.112,680.081,1.023,544.313,680,1.039,549.799,677.68,1.056,552.856,676.715,1.074,556.207,675.598,1.091,560.63,676.052,1.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1228,MACCH,
186,423,0,230.297,410.64,0.016,245.628,406.249,0.033,259.976,404.388,0.051,273.133,402.144,0.068,285.581,400.452,0.084,298.36,399.331,0.1,321.041,399,0.117,335.126,399.913,0.133,348.396,401.033,0.151,362.999,402.154,0.167,373.738,402,0.185,390.491,400.608,0.202,401.157,401.484,0.218,414.909,401,0.234,426.831,401,0.251,436.901,401,0.267,448.003,402,0.284,455.829,400.882,0.301,462.423,401,0.317,470.503,399.642,0.335,479.831,398.521,0.351,484.811,398,0.375,487.452,397.274,0.394,490.532,397,0.411,492.931,397.966,0.428,496.168,399,0.443,498.406,399,0.464,500.651,399,0.485,502.535,400.267,0.55,503.134,402.268,0.57,500.836,404.163,0.597,496.975,406.447,0.605,489.114,412.061,0.62,480,423.5,0.636,461.843,438.849,0.652,443.871,453.812,0.669,426.59,470.41,0.686,404.707,484.176,0.703,386.834,501.03,0.719,363.932,515.294,0.736,344.272,535.354,0.754,325.735,546.834,0.771,306.395,564.605,0.786,286.987,581.8,0.803,271.706,597.151,0.82,254.354,616.602,0.836,244.095,630.207,0.853,235.29,641.138,0.87,230.311,645.689,0.887,227.625,648.375,0.936,232.652,648,0.953,237.707,649.883,0.97,244.382,653.191,0.987,253.456,655.364,1.004,270.271,655,1.022,283.074,656.423,1.039,300.709,656,1.055,321.368,656,1.07,340.617,655.211,1.087,364.025,654.09,1.104,388.59,652.973,1.121,408.652,650.705,1.137,432.634,645.927,1.154,458.993,644.218,1.172,469.5,643.5,1.189,491.556,648.519,1.204,507.255,651.501,1.221,519.736,654.621,1.237,530.942,657.983,1.254,541.034,661.345,1.271,548.646,663.47,1.288,555.137,671.137,1.306,566.264,680.791,1.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1398,MACCH,
194,379,0,211.171,381.146,0.019,231.739,383.562,0.036,245.839,384.68,0.052,261.251,385,0.069,276.867,385,0.086,293.651,383.957,0.102,312.787,381.672,0.119,349.804,378.148,0.137,370.51,376.189,0.154,390.5,372.5,0.17,412.864,366.784,0.186,433.035,362.7,0.203,453.87,360.224,0.22,473.145,357.983,0.236,491.067,358,0.253,507.663,358,0.269,521.8,356.631,0.288,530.421,355.509,0.304,542.268,355,0.32,548.662,355,0.337,552.554,355,0.354,554.5,355,0.419,550.819,357.181,0.438,543.241,367.486,0.454,528.534,379.977,0.47,514.2,392.8,0.487,496.069,409.057,0.504,481.223,423.777,0.521,459.627,441.841,0.537,440.964,454.555,0.556,419.011,475.148,0.572,397,487.5,0.589,375.192,508.205,0.604,353.969,527.031,0.621,332.034,546.271,0.638,307.542,565.354,0.655,286.312,584.405,0.671,264.931,601.002,0.688,242.319,619.144,0.706,227.5,635.5,0.723,209.894,652.354,0.738,194.574,666.192,0.755,185.818,678.5,0.772,181.056,685.916,0.789,176.573,689.32,0.805,174.541,693.918,0.825,172.322,697.017,0.846,173,698.941,0.872,177.139,700.713,0.889,179.663,702.663,0.906,183.805,705.854,0.922,188.279,710.279,0.939,196.348,712.385,0.955,208.079,714.616,0.974,219.348,716.87,0.99,233.301,717,1.007,247.42,717.675,1.022,264.51,718,1.039,278.998,718.917,1.057,296.629,719,1.073,311.047,719,1.089,330.637,719,1.108,342.74,719,1.125,363.5,719,1.141,379.853,721.277,1.156,395.894,722.761,1.174,411.294,723,1.19,428.006,722,1.207,442.514,722,1.223,457.182,720.755,1.24,466.23,721,1.258,480.832,721,1.275,486.018,720.396,1.29,490.899,720,1.307,493.686,720,1.324,495,720,1.39,491.821,718.91,1.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1519,MACCH,
