184;401;0; 
212,695;402,025;0,02;
243,505;403,37;0,037;
267,141;404,461;0,056;
289,586;405;0,073;
315,074;403,539;0,09;
341,482;401,293;0,116;
368,468;399,044;0,138;
434,257;397;0,171;
462,165;397;0,186;
471,5;397;0,207;
482,318;397;0,221;
486,476;397;0,243;
488,88;397;0,257;
490;397;0,268;
491,176;397;0,318;
489,822;399,357;0,35;
490;401,546;0,385;
487,466;403,534;0,403;
484,702;406,298;0,419;
481,069;409,931;0,444;
472,028;417,547;0,457;
462,096;431,856;0,49;
449,137;444,963;0,526;
415,355;475,984;0,563;
365,864;524,584;0,591;
332,327;557,162;0,606;
315,886;573,765;0,65;
284,554;606,549;0,671;
270,973;623,027;0,693;
247,873;649,659;0,721;
238,066;660,934;0,737;
218,358;684,642;0,756;
209,715;694,04;0,784;
200,964;700,397;0,795;
194,188;706,812;0,814;
191,871;711,388;0,824;
190,746;714,763;0,937;
195,114;713,943;0,961;
198,042;713,792;0,99;
218,537;709,616;1,006;
231;706,5;1,02;
252,6;701,173;1,038;
273,858;698,314;1,053;
293,483;695,091;1,098;
334,516;694,793;1,137;
371,505;695;1,166;
409,148;695,323;1,19;
427,922;696,638;1,206;
456,835;697,139;1,226;
469,123;695,807;1,258;
488,958;697,44;1,274;
497;697;1,305;
502,734;695,317;1,336;
510,834;695,083;1,413;
512;694,5;1,682;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
56;;;
1682;;;
CACA;;;
;;;
201;411;0; 
237,133;408,361;0,017;
256,696;407,253;0,033;
275,214;407;0,048;
293,972;406,002;0,065;
313,958;406;0,082;
331,186;404,738;0,098;
351,621;405;0,117;
396;405;0,135;
406,399;404;0,151;
424,03;402,496;0,171;
441,188;402;0,183;
454,979;400,003;0,2;
466,142;398,886;0,216;
483,647;400,243;0,234;
492,33;398,63;0,257;
499,403;400,486;0,274;
508,059;401,388;0,29;
511,465;401,732;0,3;
513;402,5;0,335;
512;404,537;0,358;
509,768;406,232;0,371;
506,651;407,674;0,386;
502,094;409,953;0,402;
491,586;416,813;0,435;
483,5;424;0,461;
454,426;447,613;0,468;
437,767;458,822;0,486;
428,112;472,518;0,518;
414,067;486,933;0,525;
397,626;503,374;0,536;
381,345;520,232;0,55;
367,5;535;0,567;
347,846;555,154;0,602;
312,837;587,026;0,617;
298,502;601,498;0,717;
277,362;616,072;0,98;
212,619;695;1,012;
243,116;692,993;1,04;
262,305;691,864;1,08;
301,176;691,378;1,12;
389,005;693,864;1,138;
408,695;694;1,162;
428,953;695,115;1,171;
448,004;696,236;1,186;
464,415;698,722;1,203;
479,733;698;1,225;
491,44;701;1,24;
499,5;701;1,265;
512,82;702,852;1,279;
519,843;703;1,289;
525,482;701,904;1,304;
529,878;700,78;1,321;
534,379;701;1,344;
537,385;702,462;1,57;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
0;0;0;
55;;;
1570;;;
CACA;;;
;;;
201;412;0; 
219,805;406,776;0,016;
242,521;400,071;0,04;
258,046;396,419;0,066;
272,716;394,044;0,128;
322,921;392,686;0,16;
379,267;397,713;0,229;
420,949;404,173;0,254;
444,366;408,337;0,263;
455,046;409,45;0,28;
465,183;410,576;0,305;
482,69;412;0,372;
496,393;413;0,497;
516,537;415,269;0,536;
513,821;417,179;0,578;
508,613;419,796;0,62;
489,904;430,94;0,662;
467,69;446,135;0,693;
