190;401;0; 
217,314;401;0,017;
239,719;401;0,035;
251,526;401;0,052;
262,238;401;0,068;
271,631;401;0,084;
280,596;401,824;0,101;
290,524;402;0,119;
310,182;404,131;0,134;
319,697;404;0,151;
332,401;404;0,169;
341,886;404;0,186;
353,603;403;0,202;
365,725;402,328;0,218;
376,13;402;0,235;
388,974;401,086;0,252;
399,335;399,963;0,268;
409,396;398,845;0,285;
419,488;399;0,303;
431,02;397,598;0,331;
439;401;0,342;
448,483;399;0,352;
457,076;399;0,369;
464,301;399,884;0,386;
472,003;399;0,402;
478,752;399;0,419;
484,203;399;0,437;
488,472;397,632;0,453;
491,467;399,489;0,485;
492,536;399;0,552;
489,914;402,129;0,569;
487,329;403,336;0,619;
484,464;405,357;0,669;
481,465;406,178;0,687;
479,815;407,092;0,704;
477,395;409,605;0,721;
473,705;411,863;0,739;
470,5;414;0,755;
465,997;418,671;0,771;
461,843;423,157;0,787;
459,179;428,553;0,804;
454,876;433,124;0,821;
449,243;439,908;0,837;
443,638;445,362;0,856;
435,215;450,989;0,872;
430,5;458;0,889;
426,47;466,06;0,904;
420,454;473,546;0,923;
412,853;480,269;0,937;
403,997;488,003;0,955;
399,508;495,862;0,971;
393,807;503,671;0,988;
385,424;510,208;1,006;
377,633;519,848;1,023;
370,59;527,819;1,039;
363,93;536,07;1,055;
356,086;543,07;1,072;
345,304;552,727;1,089;
339,56;562,793;1,105;
331,54;570,46;1,122;
322,363;578,307;1,14;
310,478;587,618;1,157;
305,574;596,996;1,173;
296,757;604,855;1,189;
285,098;613,474;1,206;
278,327;622,477;1,222;
268,5;629,333;1,239;
258,395;634,891;1,255;
248,286;644,413;1,274;
243,896;651,946;1,291;
235,5;658;1,307;
226,373;663,305;1,323;
220,095;669,687;1,34;
215,376;675,531;1,356;
210,901;681,124;1,373;
204,129;685,581;1,389;
201,194;688,806;1,406;
197,827;690,782;1,425;
194,5;693;1,441;
193,372;694,255;1,456;
192,5;696;1,489;
190,464;697,536;1,539;
191;699,177;1,606;
192,134;701,268;1,64;
194,056;701;1,658;
196,404;702,202;1,69;
199,665;702;1,724;
203,376;700,312;1,741;
205,617;698,383;1,758;
207,862;698;1,775;
210,099;698;1,791;
212,344;698;1,808;
215,878;698;1,826;
220,662;698;1,843;
226,5;699,5;1,859;
234,254;699;1,875;
242,431;700,552;1,892;
249,389;701,898;1,909;
257,146;704,042;1,925;
266,111;705,139;1,942;
129;;;
2572;;;
JLAP;;;
;;;
195;404;0; 
210,349;402,977;0,018;
225,293;403;0,034;
233,474;403;0,051;
240,402;403;0,068;
247,15;403;0,084;
253,873;403;0,101;
261,859;403;0,118;
278,029;403;0,136;
283,5;403;0,152;
292,654;403,628;0,168;
302,003;404;0,185;
310,972;403,128;0,202;
318,974;403,996;0,218;
330,124;404;0,247;
338,844;404;0,263;
347,861;402,642;0,272;
358,815;403;0,287;
367;403;0,302;
377,495;402;0,318;
388,412;402;0,336;
398,672;401,036;0,352;
406,574;401;0,369;
418,049;401;0,386;
426,604;399,675;0,404;
436,981;400;0,421;
446,102;398,433;0,437;
454,837;397,309;0,453;
463,484;397;0,469;
471,517;397;0,487;
479,375;397;0,503;
486,043;397;0,52;
491,461;398,292;0,538;
497,067;396,587;0,555;
500,145;398;0,571;
503,314;398;0,587;
505,556;398,778;0,604;
507;399,5;0,637;
502,861;400,046;0,669;
499,426;402,383;0,687;
497;403,5;0,719;
495,465;404,267;0,753;
493,463;405,268;0,771;
491,887;406,056;0,837;
489,732;407,134;0,886;
488,821;409,358;0,904;
486,92;411,08;0,921;
485,8;413,401;0,938;
483,357;414,321;0,956;
481,106;416,894;0,973;
478,87;420,13;0,989;
