197;411;0; 
226,4;408,24;0,018;
241,366;407,126;0,035;
254,858;407;0,051;
269,323;407;0,068;
282,56;407;0,085;
295,923;407;0,103;
310,738;407;0,12;
339,5;408,5;0,136;
348,671;408,667;0,152;
362,357;409;0,169;
377,471;409,891;0,186;
391,078;410;0,202;
405,534;410;0,219;
416,341;410;0,235;
428,797;410;0,254;
441,047;408,541;0,27;
448,579;408,428;0,286;
458,161;408;0,303;
467,377;408;0,319;
475,378;407,089;0,336;
483,159;405,977;0,353;
489,818;404,864;0,369;
495,239;405;0,386;
498,086;405;0,403;
501,443;406,481;0,485;
496,681;408,213;0,503;
494,843;410,157;0,52;
492,469;410;0,537;
490,246;412,754;0,553;
485,031;416,477;0,571;
475,145;424,034;0,588;
465,521;429,599;0,604;
458,006;435,994;0,621;
447,526;442,684;0,638;
435,327;450,429;0,654;
425,445;458,21;0,671;
416,688;467,312;0,688;
400,801;474,8;0,705;
389,5;484;0,722;
379,499;493,001;0,738;
368,352;501,909;0,755;
358,332;512,52;0,771;
344,444;522,693;0,788;
334,283;533,796;0,81;
320,712;543,716;0,822;
308,671;556,329;0,842;
299,254;565,746;0,856;
288;575,5;0,873;
277,843;586,513;0,889;
268,16;595,84;0,906;
259,003;607,621;0,923;
249,143;616,873;0,939;
240,218;626,879;0,956;
231,306;636,906;0,973;
219,831;648,169;0,991;
212,926;656,513;1,008;
203,598;667,952;1,024;
194,033;676,641;1,04;
187,907;684,412;1,056;
182,557;691,331;1,073;
178,999;696,002;1,09;
176,772;699,342;1,189;
179,177;699;1,222;
181,014;699;1,256;
183,246;699;1,273;
187,08;699;1,292;
191,892;699;1,308;
202,261;700,169;1,324;
211,585;701,698;1,341;
221,302;702,811;1,357;
233,158;703,923;1,376;
246,469;706,078;1,391;
257,525;707,152;1,408;
274,923;708,262;1,424;
284,812;709,381;1,442;
300,347;709;1,459;
316,869;709,395;1,475;
331,321;709,717;1,492;
344,955;709,17;1,508;
361,125;709;1,525;
372,552;709;1,541;
386,025;707,831;1,558;
399,394;709,283;1,575;
408,563;707,604;1,593;
420;708;1,61;
430,567;708;1,625;
441,33;707,267;1,642;
452,465;707;1,66;
462,692;707;1,679;
473,646;707;1,692;
484,865;707;1,709;
492,071;707;1,726;
497,055;705,589;1,744;
505,5;706;1,759;
506,5;706;1,791;
508,797;707,266;1,825;
505,467;708,266;1,92;
0;0;0;
0;0;0;
98;;;
1920;;;
APTP;;;
;;;
181;405;0; 
227,148;406,907;0,018;
245,398;408,025;0,035;
262,006;408;0,051;
278,764;408;0,068;
